externalSampleId bilirubin creatinine cholesterol glucose urea weight fat_weight
BL2338-1035 0.6 0.19 105 354 13 20.28 0.200939
BL2338-1035 0.6 0.19 105 354 13 25.5 0.200939
BL2338-1056 0.6 0.24 132 347 17 29.75 0.251812
BL2338-1056 0.6 0.24 132 347 17 24.66 0.251812
BL2338-1056 0.6 0.24 132 347 17 28.62 0.251812
BL2338-1056 0.6 0.24 132 347 17 29.75 0.251812
BL2338-1056 0.6 0.24 132 347 17 26.31 0.251812
BL2342-895 0.2 0.19 127 362 17 26.8 0.225953
BL2342-895 0.2 0.19 127 362 17 27.49 0.225953
BL2342-895 0.2 0.19 127 362 17 20.71 0.225953
BL2342-895 0.2 0.19 127 362 17 27.49 0.225953
BL2342-916 0.4 0.2 147 383 18 30.28 0.206527
BL2342-916 0.4 0.2 147 383 18 30.28 0.206527
BL2342-916 0.4 0.2 147 383 18 24.41 0.206527
BL2342-916 0.4 0.2 147 383 18 29.16 0.206527
BL2342-916 0.4 0.2 147 383 18 27.32 0.206527
BL2358-1288 0.4 0.21 113 359 23 24.35 0.183163
BL2358-1288 0.4 0.21 113 359 23 24.35 0.183163
BL2358-1288 0.4 0.21 113 359 23 24.12 0.183163
BL2358-1288 0.4 0.21 113 359 23 20.21 0.183163
BL2359-881 0.2 0.21 105 370 16 20.72 0.142425
BL2359-881 0.2 0.21 105 370 16 22.82 0.142425
BL2359-881 0.2 0.21 105 370 16 22.82 0.142425
BL2359-881 0.2 0.21 105 370 16 19.33 0.142425
BL2378-966 0.18 0.217 100.4 421.6 21 26.67 0.158827
BL2378-966 0.18 0.217 100.4 421.6 21 26.67 0.158827
BL2378-966 0.18 0.217 100.4 421.6 21 33.22 0.158827
BL2378-966 0.18 0.217 100.4 421.6 21 30.39 0.158827
BL2378-966 0.18 0.217 100.4 421.6 21 32.32 0.158827
BL2388-1235 0.2 0.2 137 426 18 31.29 0.262909
BL2388-1235 0.2 0.2 137 426 18 31.21 0.262909
BL2388-1235 0.2 0.2 137 426 18 23.96 0.262909
BL2388-1235 0.2 0.2 137 426 18 31.21 0.262909
BL2388-1247 0.2 0.12 121 292 27 27.36 0.103365
BL2388-1247 0.2 0.12 121 292 27 27.27 0.103365
BL2388-1247 0.2 0.12 121 292 27 23.35 0.103365
BL2388-1247 0.2 0.12 121 292 27 29.32 0.103365
BL2388-1247 0.2 0.12 121 292 27 29.32 0.103365
BL2396-748 0.1 0.19 99 324 15 34.63 0.224019
BL2396-748 0.1 0.19 99 324 15 27.63 0.224019
BL2396-748 0.1 0.19 99 324 15 30.9 0.224019
BL2396-748 0.1 0.19 99 324 15 27.74 0.224019
BL2396-748 0.1 0.19 99 324 15 34.63 0.224019
BL2405-677 0.4 0.25 101 358 18 24.63 0.160016
BL2405-677 0.4 0.25 101 358 18 24.63 0.160016
BL2405-677 0.4 0.25 101 358 18 21.34 0.160016
BL2405-677 0.4 0.25 101 358 18 25.6 0.160016
BL2405-702 0.3 0.25 117 321 18 29.32 0.140018
BL2405-702 0.3 0.25 117 321 18 29.15 0.140018
BL2405-702 0.3 0.25 117 321 18 27.03 0.140018
BL2405-702 0.3 0.25 117 321 18 26.17 0.140018
BL2405-702 0.3 0.25 117 321 18 29.15 0.140018
BL2410-1173 0.2 0.22 111 267 13 27.04 0.199735
BL2410-1173 0.2 0.22 111 267 13 27.28 0.199735
BL2410-1173 0.2 0.22 111 267 13 23.32 0.199735
BL2410-1173 0.2 0.22 111 267 13 26.6 0.199735
BL2410-1197 0.5 0.24 89 294 17 26.65 0.149383
BL2410-1197 0.5 0.24 89 294 17 29.12 0.149383
BL2410-1197 0.5 0.24 89 294 17 29.12 0.149383
BL2410-1197 0.5 0.24 89 294 17 29.22 0.149383
BL2410-1197 0.5 0.24 89 294 17 25.82 0.149383
BL2424-1238 0.3 0.11 54 214 21 23.92 0.192826
BL2424-1238 0.3 0.11 54 214 21 20.88 0.192826
BL2424-1238 0.3 0.11 54 214 21 23.92 0.192826
BL2424-1238 0.3 0.11 54 214 21 25.12 0.192826
BL2424-1239 0.2 0.16 99 355 19 23.13 0.219649
BL2424-1239 0.2 0.16 99 355 19 27.9 0.219649
BL2424-1239 0.2 0.16 99 355 19 28.89 0.219649
BL2424-1239 0.2 0.16 99 355 19 28.89 0.219649
BL2453-953 0.7 0.21 152 330 17 28.63 0.247408
BL2453-953 0.7 0.21 152 330 17 21.1 0.247408
